x,y,score
0.0,0.0,1.02
0.0,0.01,1.019
0.0,0.02,1.019
0.0,0.03,1.019
0.0,0.04,1.019
0.0,0.05,1.019
0.0,0.06,1.019
0.0,0.07,1.018
0.0,0.08,1.019
0.0,0.09,1.016
0.0,0.1,1.0150000000000001
0.0,0.11,1.017
0.0,0.12,1.019
0.0,0.13,1.0150000000000001
0.0,0.14,1.016
0.0,0.15,1.014
0.0,0.16,1.019
0.0,0.17,1.015
0.0,0.18,1.012
0.0,0.19,1.016
0.0,0.2,1.019
0.0,0.21,1.015
0.0,0.22,1.016
0.0,0.23,1.012
0.0,0.24,1.016
0.0,0.25,1.017
0.0,0.26,1.015
0.0,0.27,1.0150000000000001
0.0,0.28,1.011
0.0,0.29,1.014
0.0,0.3,1.0150000000000001
0.0,0.31,1.017
0.0,0.32,1.009
0.0,0.33,1.0130000000000001
0.0,0.34,1.016
0.0,0.35000000000000003,1.014
0.0,0.36,1.0150000000000001
0.0,0.37,1.016
0.0,0.38,1.012
0.0,0.39,1.007
0.0,0.4,1.0139999999999998
0.0,0.41000000000000003,1.013
0.0,0.42,1.0139999999999998
0.0,0.43,1.0110000000000001
0.0,0.44,1.0059999999999998
0.0,0.45,1.014
0.0,0.46,1.0130000000000001
0.0,0.47000000000000003,1.0130000000000001
0.0,0.48,1.009
0.0,0.49,1.009
0.0,0.5,1.012
0.0,0.51,1.011
0.0,0.52,1.011
0.0,0.53,1.009
0.0,0.54,1.005
0.0,0.55,1.008
0.0,0.56,1.011
0.0,0.5700000000000001,1.011
0.0,0.58,1.0059999999999998
0.0,0.59,1.0100000000000002
0.0,0.6,1.0079999999999998
0.0,0.61,1.004
0.0,0.62,1.011
0.0,0.63,1.0059999999999998
0.0,0.64,1.011
0.0,0.65,1.0079999999999998
0.0,0.66,1.007
0.0,0.67,1.003
0.0,0.68,1.007
0.0,0.6900000000000001,1.005
0.0,0.7000000000000001,1.003
0.0,0.71,1.0059999999999998
0.0,0.72,1.0059999999999998
0.0,0.73,1.0059999999999998
0.0,0.74,1.005
0.0,0.75,1.003
0.0,0.76,1.004
0.0,0.77,1.005
0.0,0.78,1.005
0.0,0.79,1.005
0.0,0.8,1.004
0.0,0.81,1.005
0.0,0.8200000000000001,1.004
0.0,0.8300000000000001,1.003
0.0,0.84,1.002
0.0,0.85,1.003
0.0,0.86,1.002
0.0,0.87,1.004
0.0,0.88,1.004
0.0,0.89,1.004
0.0,0.9,1.001
0.0,0.91,1.001
0.0,0.92,1.003
0.0,0.93,1.001
0.0,0.9400000000000001,1.001
0.0,0.9500000000000001,1.003
0.0,0.96,1.0
0.0,0.97,1.0
0.0,0.98,1.001
0.0,0.99,1.0
0.0,1.0,1.0
0.01,0.0,1.063
0.01,0.01,1.053
0.01,0.02,1.065
0.01,0.03,1.0449999999999997
0.01,0.04,1.0639999999999998
0.01,0.05,1.0599999999999998
0.01,0.06,1.0589999999999997
0.01,0.07,1.0560000000000003
0.01,0.08,1.057
0.01,0.09,1.0449999999999997
0.01,0.1,1.057
0.01,0.11,1.0679999999999998
0.01,0.12,1.066
0.01,0.13,1.0559999999999998
0.01,0.14,1.059
0.01,0.15,1.065
0.01,0.16,1.0609999999999997
0.01,0.17,1.056
0.01,0.18,1.05
0.01,0.19,1.063
0.01,0.2,1.0609999999999997
0.01,0.21,1.0539999999999998
0.01,0.22,1.057
0.01,0.23,1.0429999999999997
0.01,0.24,1.057
0.01,0.25,1.055
0.01,0.26,1.0529999999999997
0.01,0.27,1.0470000000000002
0.01,0.28,1.06
0.01,0.29,1.0509999999999997
0.01,0.3,1.0589999999999997
0.01,0.31,1.0510000000000002
0.01,0.32,1.057
0.01,0.33,1.049
0.01,0.34,1.049
0.01,0.35000000000000003,1.0429999999999997
0.01,0.36,1.045
0.01,0.37,1.0509999999999997
0.01,0.38,1.0470000000000002
0.01,0.39,1.057
0.01,0.4,1.0509999999999997
0.01,0.41000000000000003,1.0470000000000002
0.01,0.42,1.048
0.01,0.43,1.0459999999999998
0.01,0.44,1.0539999999999998
0.01,0.45,1.054
0.01,0.46,1.0459999999999998
0.01,0.47000000000000003,1.047
0.01,0.48,1.053
0.01,0.49,1.0470000000000002
0.01,0.5,1.0550000000000002
0.01,0.51,1.0550000000000002
0.01,0.52,1.0639999999999998
0.01,0.53,1.053
0.01,0.54,1.039
0.01,0.55,1.042
0.01,0.56,1.0529999999999997
0.01,0.5700000000000001,1.0639999999999998
0.01,0.58,1.0519999999999998
0.01,0.59,1.0639999999999998
0.01,0.6,1.039
0.01,0.61,1.0429999999999997
0.01,0.62,1.045
0.01,0.63,1.042
0.01,0.64,1.061
0.01,0.65,1.041
0.01,0.66,1.039
0.01,0.67,1.039
0.01,0.68,1.042
0.01,0.6900000000000001,1.041
0.01,0.7000000000000001,1.0439999999999998
0.01,0.71,1.0439999999999998
0.01,0.72,1.035
0.01,0.73,1.0390000000000001
0.01,0.74,1.043
0.01,0.75,1.0429999999999997
0.01,0.76,1.041
0.01,0.77,1.058
0.01,0.78,1.045
0.01,0.79,1.045
0.01,0.8,1.0420000000000003
0.01,0.81,1.057
0.01,0.8200000000000001,1.045
0.01,0.8300000000000001,1.054
0.01,0.84,1.0379999999999998
0.01,0.85,1.044
0.01,0.86,1.044
0.01,0.87,1.041
0.01,0.88,1.04
0.01,0.89,1.052
0.01,0.9,1.036
0.01,0.91,1.0370000000000001
0.01,0.92,1.0370000000000001
0.01,0.93,1.037
0.01,0.9400000000000001,1.05
0.01,0.9500000000000001,1.0550000000000002
0.01,0.96,1.039
0.01,0.97,1.034
0.01,0.98,1.0550000000000002
0.01,0.99,1.054
0.01,1.0,1.047
0.02,0.0,1.1019999999999999
0.02,0.01,1.0870000000000002
0.02,0.02,1.0910000000000002
0.02,0.03,1.095
0.02,0.04,1.1010000000000002
0.02,0.05,1.1230000000000002
0.02,0.06,1.1
0.02,0.07,1.0930000000000002
0.02,0.08,1.092
0.02,0.09,1.0930000000000002
0.02,0.1,1.1089999999999998
0.02,0.11,1.1200000000000003
0.02,0.12,1.085
0.02,0.13,1.096
0.02,0.14,1.0859999999999999
0.02,0.15,1.091
0.02,0.16,1.085
0.02,0.17,1.095
0.02,0.18,1.0859999999999999
0.02,0.19,1.095
0.02,0.2,1.106
0.02,0.21,1.0870000000000002
0.02,0.22,1.0859999999999999
0.02,0.23,1.0790000000000002
0.02,0.24,1.083
0.02,0.25,1.083
0.02,0.26,1.0819999999999999
0.02,0.27,1.0970000000000002
0.02,0.28,1.0970000000000002
0.02,0.29,1.1019999999999999
0.02,0.3,1.09
0.02,0.31,1.089
0.02,0.32,1.081
0.02,0.33,1.086
0.02,0.34,1.0840000000000003
0.02,0.35000000000000003,1.0970000000000002
0.02,0.36,1.086
0.02,0.37,1.0999999999999999
0.02,0.38,1.086
0.02,0.39,1.081
0.02,0.4,1.083
0.02,0.41000000000000003,1.0800000000000003
0.02,0.42,1.085
0.02,0.43,1.0989999999999998
0.02,0.44,1.0999999999999999
0.02,0.45,1.082
0.02,0.46,1.0989999999999998
0.02,0.47000000000000003,1.0790000000000002
0.02,0.48,1.0910000000000002
0.02,0.49,1.1130000000000002
0.02,0.5,1.1130000000000002
0.02,0.51,1.073
0.02,0.52,1.1019999999999999
0.02,0.53,1.081
0.02,0.54,1.112
0.02,0.55,1.0910000000000002
0.02,0.56,1.0850000000000002
0.02,0.5700000000000001,1.0799999999999998
0.02,0.58,1.081
0.02,0.59,1.0900000000000003
0.02,0.6,1.076
0.02,0.61,1.0799999999999998
0.02,0.62,1.077
0.02,0.63,1.0799999999999998
0.02,0.64,1.076
0.02,0.65,1.0790000000000002
0.02,0.66,1.083
0.02,0.67,1.108
0.02,0.68,1.085
0.02,0.6900000000000001,1.082
0.02,0.7000000000000001,1.0830000000000002
0.02,0.71,1.085
0.02,0.72,1.076
0.02,0.73,1.108
0.02,0.74,1.08
0.02,0.75,1.08
0.02,0.76,1.085
0.02,0.77,1.0870000000000002
0.02,0.78,1.079
0.02,0.79,1.105
0.02,0.8,1.0710000000000002
0.02,0.81,1.0870000000000002
0.02,0.8200000000000001,1.0719999999999998
0.02,0.8300000000000001,1.095
0.02,0.84,1.083
0.02,0.85,1.069
0.02,0.86,1.095
0.02,0.87,1.0809999999999997
0.02,0.88,1.0850000000000002
0.02,0.89,1.069
0.02,0.9,1.0719999999999998
0.02,0.91,1.077
0.02,0.92,1.0669999999999997
0.02,0.93,1.079
0.02,0.9400000000000001,1.078
0.02,0.9500000000000001,1.0669999999999997
0.02,0.96,1.093
0.02,0.97,1.1030000000000002
0.02,0.98,1.0799999999999996
0.02,0.99,1.091
0.02,1.0,1.081
0.03,0.0,1.1300000000000001
0.03,0.01,1.122
0.03,0.02,1.134
0.03,0.03,1.1400000000000001
0.03,0.04,1.122
0.03,0.05,1.153
0.03,0.06,1.122
0.03,0.07,1.155
0.03,0.08,1.137
0.03,0.09,1.1499999999999997
0.03,0.1,1.125
0.03,0.11,1.158
0.03,0.12,1.118
0.03,0.13,1.1219999999999999
0.03,0.14,1.135
0.03,0.15,1.1400000000000001
0.03,0.16,1.137
0.03,0.17,1.1280000000000001
0.03,0.18,1.1480000000000001
0.03,0.19,1.1199999999999999
0.03,0.2,1.1199999999999999
0.03,0.21,1.1420000000000001
0.03,0.22,1.124
0.03,0.23,1.159
0.03,0.24,1.136
0.03,0.25,1.133
0.03,0.26,1.1439999999999997
0.03,0.27,1.116
0.03,0.28,1.13
0.03,0.29,1.1280000000000001
0.03,0.3,1.1189999999999998
0.03,0.31,1.1199999999999999
0.03,0.32,1.145
0.03,0.33,1.1400000000000001
0.03,0.34,1.142
0.03,0.35000000000000003,1.1320000000000001
0.03,0.36,1.1190000000000002
0.03,0.37,1.131
0.03,0.38,1.1359999999999997
0.03,0.39,1.1310000000000002
0.03,0.4,1.1179999999999999
0.03,0.41000000000000003,1.1409999999999998
0.03,0.42,1.124
0.03,0.43,1.1190000000000002
0.03,0.44,1.1299999999999997
0.03,0.45,1.1309999999999998
0.03,0.46,1.11
0.03,0.47000000000000003,1.112
0.03,0.48,1.1180000000000003
0.03,0.49,1.1320000000000001
0.03,0.5,1.124
0.03,0.51,1.1270000000000002
0.03,0.52,1.113
0.03,0.53,1.138
0.03,0.54,1.1120000000000003
0.03,0.55,1.143
0.03,0.56,1.138
0.03,0.5700000000000001,1.121
0.03,0.58,1.1180000000000003
0.03,0.59,1.124
0.03,0.6,1.1469999999999998
0.03,0.61,1.142
0.03,0.62,1.154
0.03,0.63,1.11
0.03,0.64,1.122
0.03,0.65,1.121
0.03,0.66,1.142
0.03,0.67,1.11
0.03,0.68,1.1070000000000004
0.03,0.6900000000000001,1.1190000000000002
0.03,0.7000000000000001,1.1170000000000002
0.03,0.71,1.116
0.03,0.72,1.1330000000000005
0.03,0.73,1.13
0.03,0.74,1.126
0.03,0.75,1.121
0.03,0.76,1.121
0.03,0.77,1.141
0.03,0.78,1.126
0.03,0.79,1.105
0.03,0.8,1.1190000000000002
0.03,0.81,1.116
0.03,0.8200000000000001,1.1309999999999998
0.03,0.8300000000000001,1.1190000000000002
0.03,0.84,1.1099999999999999
0.03,0.85,1.1270000000000002
0.03,0.86,1.1249999999999998
0.03,0.87,1.105
0.03,0.88,1.1219999999999999
0.03,0.89,1.1230000000000004
0.03,0.9,1.1230000000000004
0.03,0.91,1.1190000000000002
0.03,0.92,1.105
0.03,0.93,1.134
0.03,0.9400000000000001,1.118
0.03,0.9500000000000001,1.1149999999999998
0.03,0.96,1.112
0.03,0.97,1.129
0.03,0.98,1.126
0.03,0.99,1.124
0.03,1.0,1.121
0.04,0.0,1.1977499999999999
0.04,0.01,1.177
0.04,0.02,1.1740000000000002
0.04,0.03,1.195
0.04,0.04,1.167
0.04,0.05,1.2069999999999999
0.04,0.06,1.166
0.04,0.07,1.182
0.04,0.08,1.1680000000000001
0.04,0.09,1.175
0.04,0.1,1.206
0.04,0.11,1.1800000000000002
0.04,0.12,1.177
0.04,0.13,1.1720000000000002
0.04,0.14,1.182
0.04,0.15,1.166
0.04,0.16,1.151
0.04,0.17,1.188
0.04,0.18,1.206
0.04,0.19,1.1720000000000002
0.04,0.2,1.188
0.04,0.21,1.195
0.04,0.22,1.174
0.04,0.23,1.17
0.04,0.24,1.2120000000000002
